City,Sales,Profit,Quantity,Orders,Customers,Avg_Discount,Profit Margin
Cary,505.20799999999997,54.0386,19,3,3,0.20000000000000004,10.696307263542938
Cedar Hill,122.376,42.8316,6,2,2,0.2,35.0
Cedar Rapids,278.4,80.736,3,1,1,0.0,29.000000000000004
Champaign,151.96,-182.352,5,1,1,0.6,-120.0
Chandler,1076.747,81.46049999999998,23,6,6,0.24285714285714285,7.565426232903364
Chapel Hill,14.016,4.7304,3,1,1,0.2,33.75
Charlotte,13693.339,-429.7824,243,24,24,0.29423076923076924,-3.138623822867454
Charlottesville,102.60999999999999,22.6278,7,2,2,0.0,22.052236624110712
Chattanooga,988.803,27.191799999999994,38,6,6,0.32999999999999996,2.749971430102861
Chesapeake,5996.72,1262.787,72,10,10,0.0,21.057961685721526
Chester,1968.4789999999998,48.357800000000005,55,4,4,0.33125,2.456607360302041
Cheyenne,1603.136,100.196,4,1,1,0.2,6.25
Chicago,48539.541,-6654.5688,1132,171,155,0.3837579617834395,-13.709583285923532
Chico,2050.178,205.12539999999998,43,3,3,0.07272727272727274,10.005248324779604
Chula Vista,1041.62,248.43460000000002,13,3,3,0.0,23.850790115397174
Cincinnati,1611.976,175.3371,58,12,12,0.32941176470588235,10.87715325786488
Citrus Heights,129.39,54.3438,3,1,1,0.0,42.00000000000001
Clarksville,2217.73,-1055.3532000000002,27,3,3,0.2714285714285714,-47.587091305073216
Cleveland,6346.185,-848.0079000000001,138,21,21,0.3047619047619048,-13.362483129628272
Clifton,336.82,98.58840000000001,9,1,1,0.0,29.270352116857673
Clinton,5514.251,1274.2421,119,10,10,0.010344827586206896,23.108162831180515
Clovis,111.42,11.635200000000001,10,1,1,0.1,10.44264943457189
Coachella,163.55,47.1736,3,1,1,0.0,28.843534087435035
College Station,291.042,-117.6224,19,2,2,0.43333333333333335,-40.41423574604353
Colorado Springs,3694.009,-956.6841000000001,110,9,9,0.332,-25.89826121159965
Columbia,25283.324,5606.1167,316,33,33,0.059259259259259255,22.173179048767476
Columbus,38706.243,5897.1013,836,111,97,0.17342342342342343,15.235530092651977
Commerce City,146.352,-32.9292,3,1,1,0.2,-22.5
Concord,10542.402,-718.6388999999999,134,21,21,0.08870967741935484,-6.816652409953631
Conroe,111.672,6.9795,9,1,1,0.2,6.25
Conway,301.96,45.294,2,1,1,0.0,15.0
Coon Rapids,503.13,136.4532,7,1,1,0.0,27.120863395146387
Coppell,135.936,41.4892,17,2,2,0.2,30.521127589453855
Coral Gables,64.248,22.357799999999997,6,1,1,0.2,34.79921553978333
Coral Springs,824.992,18.556800000000003,21,4,4,0.2,2.249330902602692
Corpus Christi,220.54399999999998,-43.7304,33,3,3,0.425,-19.82842426001161
Costa Mesa,1497.67,297.20889999999997,42,5,5,0.05454545454545456,19.84475218172227
Cottage Grove,144.35999999999999,54.796800000000005,6,1,1,0.0,37.958437240232755
Covington,413.68,115.10940000000001,20,2,2,0.0,27.825710694256433
Cranston,4024.916,637.4977,52,5,5,0.056249999999999994,15.838782722422032
Cuyahoga Falls,29.093999999999998,-12.575199999999999,13,3,3,0.5333333333333333,-43.22265759263078
Dallas,20131.9322,-2846.5257,555,80,77,0.3585987261146497,-14.139356678342082
Danbury,27.46,9.8856,2,1,1,0.0,36.0
Danville,1202.254,213.0453,38,2,2,0.14285714285714285,17.720490012925723
Davis,32.4,15.552,5,1,1,0.0,48.0
Daytona Beach,272.3315,-52.334,10,2,2,0.2625,-19.217020432818092
Dearborn,1603.3100000000002,467.3864,23,2,2,0.02,29.15134315884014
Dearborn Heights,1051.5700000000002,140.8905,19,2,2,0.0,13.398109493424116
Decatur,6544.293000000001,689.0556,129,16,16,0.18857142857142856,10.529106811079515
Deer Park,6.924,-10.386,6,1,1,0.8,-149.99999999999997
Delray Beach,242.536,29.0542,11,2,2,0.20000000000000004,11.979335026552759
Deltona,893.24,122.1344,19,4,4,0.3,13.6731897362411
Denver,12198.793,-244.92000000000002,164,17,17,0.27499999999999997,-2.0077396181736997
Des Moines,5463.278,1610.7442999999998,60,10,10,0.03157894736842106,29.483110689223572
Des Plaines,1493.212,-236.7674,24,2,2,0.43333333333333335,-15.856248141590076
Detroit,42446.944,13181.790799999999,441,53,50,0.006956521739130435,31.05474636760658
Dover,4878.074,1021.4940999999999,75,11,11,0.015789473684210527,20.940520787507527
Draper,263.65,92.72550000000001,13,2,2,0.06666666666666667,35.16992224540111
Dublin,2401.16,-349.9295,56,6,6,0.33571428571428574,-14.573352046510854
Dubuque,1687.3,477.6744,18,2,2,0.0,28.309986368754814
Durham,879.96,116.8699,33,5,5,0.25555555555555554,13.281274148824945
Eagan,214.28,87.0338,22,3,3,0.0,40.61685644950532
East Orange,377.27,174.6191,20,2,2,0.0,46.28491531264082
East Point,268.4,102.0138,7,1,1,0.0,38.00812220566319
Eau Claire,1645.65,427.49780000000004,21,4,4,0.0,25.97744356333364
Edinburg,88.27600000000001,27.8086,11,2,2,0.39999999999999997,31.501880465811766
Edmond,959.55,243.10389999999998,9,1,1,0.0,25.335198791099995
Edmonds,2523.692,634.2478,42,5,5,0.042857142857142864,25.13174349326304
El Cajon,865.616,52.6872,6,2,2,0.2,6.086671226040184
El Paso,3546.064,-179.9007,65,10,10,0.30526315789473685,-5.0732502289862795
Elkhart,171.43,16.6721,7,1,1,0.0,9.725310622411481
Elmhurst,891.6279999999999,-212.13209999999998,14,2,2,0.225,-23.791547596082673
Elyria,1.824,-1.3984,1,1,1,0.7,-76.66666666666667
Encinitas,591.981,71.0588,13,2,2,0.15,12.00356092509726
Englewood,124.056,13.7547,6,1,1,0.2,11.08749274521184
Escondido,94.548,27.753,9,3,3,0.06666666666666667,29.353344333037185
Eugene,1465.032,134.03719999999998,23,1,1,0.20000000000000004,9.149097084568801
Evanston,1753.799,411.88379999999995,11,3,3,0.225,23.485234054757697
Everett,5665.734,1361.4787000000001,84,9,9,0.022727272727272728,24.030049769367924
Fairfield,9483.858,1210.3119,185,24,24,0.14222222222222222,12.761809592678421
Fargo,919.91,230.1497,30,2,2,0.0,25.01871922253264
Farmington,718.72,169.4115,11,3,3,0.0,23.571279496883346
Fayetteville,6925.926,1818.6692,168,20,20,0.16829268292682928,26.25885982610845
Florence,7621.72,2168.9661,91,11,11,0.0,28.457698524742447
Fort Collins,935.252,-252.6926,20,5,5,0.34285714285714286,-27.01866448828765
Fort Lauderdale,4929.532499999999,-161.3551,65,12,12,0.3,-3.273233313706726
Fort Worth,6602.7064,298.73269999999997,102,12,12,0.42,4.524397753018368
Frankfort,97.632,-26.055999999999997,10,2,2,0.5,-26.687971156997705
Franklin,11257.037,1664.8679,139,20,20,0.11621621621621621,14.789574734452767
Freeport,739.15,-20.087999999999994,29,6,6,0.21000000000000002,-2.7177162957451118
Fremont,1119.0099999999998,179.4696,33,7,7,0.0,16.038248094297643
Fresno,7888.5285,948.2681,106,11,10,0.10384615384615385,12.020849008785351
Frisco,57.504,-18.8016,10,2,2,0.4,-32.69616026711186
Gaithersburg,405.91999999999996,105.541,5,1,1,0.0,26.00044343713047
Garden City,312.38,90.6259,8,3,3,0.0,29.011428388501187
Garland,67.704,-32.373,12,3,3,0.45,-47.815490960652255
Gastonia,895.06,-14.743599999999995,16,1,1,0.325,-1.6472191808370384
Georgetown,1786.42,402.76,35,3,3,0.0,22.54564995913615
Gilbert,4172.382,138.253,58,5,5,0.22000000000000003,3.31352690141986
Gladstone,164.34,52.5888,5,1,1,0.0,32.0
Glendale,2917.865,182.8598,67,13,13,0.2652173913043478,6.266904054848323
Glenview,158.376,13.8579,3,1,1,0.2,8.75
Goldsboro,34.944,3.0576,3,1,1,0.2,8.75
Grand Island,15.96,7.98,2,1,1,0.0,50.0
Grand Prairie,1012.486,-85.2311,45,7,7,0.3692307692307692,-8.418002816829071
Grand Rapids,526.13,233.92270000000002,31,6,6,0.0,44.46100773573072
Grapevine,41.528,8.7749,12,1,1,0.2,21.130080909266038
Great Falls,4605.58,1582.7071,30,3,3,0.05,34.3649898601262
Greeley,30.351999999999997,10.3614,5,1,1,0.2,34.13745387453875
Green Bay,527.3199999999999,228.4764,14,4,4,0.0,43.327846468937274
Greensboro,2406.78,-122.9534,50,8,8,0.3692307692307692,-5.108626463573737
Greenville,2117.83,-548.9884,27,5,5,0.2888888888888889,-25.922212831058207
Greenwood,1665.0500000000002,471.73220000000003,19,2,2,0.0,28.331413471066934
Gresham,2133.424,150.86440000000002,28,4,4,0.3,7.071468212600965
Grove City,123.588,13.1952,12,1,1,0.55,10.676764734440237
Gulfport,166.5,77.5761,20,3,3,0.0,46.592252252252244
Hackensack,1456.16,451.2547,28,2,2,0.0,30.989362432699703
Hagerstown,43.8,20.586,6,1,1,0.0,47.0
Haltom City,269.32800000000003,51.955799999999996,13,2,2,0.2,19.29090180003564
Hamilton,328.224,-9.385000000000002,13,3,3,0.2,-2.8593277761528717
Hampton,2722.26,953.8323,48,5,5,0.0,35.03825130590024
Harlingen,471.404,18.1275,21,2,2,0.22400000000000003,3.845427701080178
Harrisonburg,4388.71,889.5239,25,4,4,0.0,20.268459296695383
Hattiesburg,1722.84,582.0694,38,3,3,0.0,33.785458893454994
Helena,443.84,74.62219999999999,17,2,2,0.06666666666666667,16.81286049026676
Hempstead,2589.586,629.0645999999999,51,4,4,0.09090909090909091,24.292091477170484
Henderson,17549.068,4911.8609,198,19,19,0.00392156862745098,27.98929777923249
Hendersonville,319.538,-45.386700000000005,22,2,2,0.4,-14.20385055924491
Hesperia,1213.1715,98.5269,18,3,3,0.1375,8.121432130576757
Hialeah,2338.949,-179.22749999999996,76,10,10,0.2888888888888889,-7.662736553896641
Hickory,40.764,-1.0956000000000001,5,2,2,0.44999999999999996,-2.687665587282897
Highland Park,2035.096,-169.9406,28,3,3,0.41428571428571426,-8.350495504880358
Hillsboro,87.838,1.5455000000000005,14,2,2,0.32499999999999996,1.7594890594048143
Holland,137.86,66.6588,11,2,2,0.0,48.352531553750175
Hollywood,1070.474,108.2012,44,8,8,0.29090909090909095,10.107784028383689
Holyoke,301.96,60.392,2,1,1,0.0,20.0
Homestead,132.552,22.3291,5,2,2,0.20000000000000004,16.8455398636007
Hoover,525.85,18.7173,15,2,2,0.0,3.5594371018351243
Hot Springs,245.82999999999998,62.083800000000004,15,2,2,0.0,25.254769556197378
Houston,64504.7604,-10153.548499999999,1466,188,172,0.3796816976127321,-15.74077391658678
Huntington Beach,2527.82,880.0391999999999,19,5,5,0.03333333333333333,34.814156071239246
Huntsville,9194.9868,161.83080000000012,161,17,17,0.29500000000000004,1.7599894760044692
Independence,2417.37,975.663,6,2,2,0.0,40.36051576713536
Indianapolis,9306.42,2741.6538,95,12,12,0.0,29.459811613918134
Inglewood,3479.328,1026.6960000000001,53,4,4,0.05,29.508456805452095
Iowa City,9.99,4.4955,1,1,1,0.0,44.99999999999999
Irving,605.5,-100.51250000000002,23,5,5,0.275,-16.599917423616848
Jackson,24963.858,7581.6828,318,37,35,0.03048780487804878,30.37063742310984
Jacksonville,44713.183,-2323.835,429,61,61,0.2868,-5.19720324987823
Jamestown,4708.79,1285.7714999999998,9,2,2,0.0,27.305772820618458
Jefferson City,86.62,8.662,2,1,1,0.0,10.0
Johnson City,765.848,11.856199999999994,43,3,3,0.325,1.5481139860651192
Jonesboro,2915.32,801.1113,53,5,5,0.0,27.479360756280613
Jupiter,2.064,0.1548,1,1,1,0.2,7.5
Keller,6.0,2.1,2,1,1,0.2,35.0
Kenner,89.32000000000001,19.7976,4,1,1,0.0,22.16480071652485
Kenosha,3906.73,1028.0728,37,3,3,0.0,26.315430039956688
Kent,1697.556,591.7956,48,6,6,0.13846153846153847,34.86162459441692
Kirkwood,241.34,47.1344,7,1,1,0.0,19.530289218529877
Kissimmee,751.984,84.5982,2,1,1,0.2,11.25
Knoxville,3928.166,-1165.0755000000001,81,10,10,0.25833333333333336,-29.659528136030914
La Crosse,830.41,272.0761,22,2,2,0.0,32.764068351778036
La Mesa,367.53000000000003,114.387,8,1,1,0.1,31.12317361848012
La Porte,1051.732,191.98579999999998,39,4,4,0.13999999999999999,18.254251082975507
La Quinta,46.32,18.0648,4,1,1,0.0,39.0
Lafayette,25036.2,10018.3876,104,17,17,0.0,40.01560779990573
Laguna Niguel,290.983,41.9815,15,3,3,0.0875,14.427475144596075
Lake Charles,547.41,241.2558,16,2,2,0.0,44.07223105167973
Lake Elsinore,283.92,17.745,5,1,1,0.2,6.25
Lake Forest,1625.536,327.53139999999996,17,2,2,0.03333333333333333,20.149132347730223
Lakeland,5606.8865000000005,-188.63649999999998,74,6,6,0.27954545454545454,-3.3643716526096963
Lakeville,4260.95,1346.6021,84,5,5,0.0,31.603330243255616
Lakewood,18192.047000000002,3234.0278,204,29,28,0.1377551020408163,17.77715174108774
Lancaster,9891.464,-7239.0684,171,27,26,0.31521739130434784,-73.18500476774722
Lansing,1610.286,412.8734,25,3,3,0.0125,25.63975591913486
Laredo,1024.34,-54.613899999999994,37,4,4,0.3230769230769231,-5.331618407950485
Las Cruces,98.77,43.9394,9,3,3,0.0,44.48658499544396
Las Vegas,1834.02,332.4433,61,8,8,0.07692307692307693,18.126481717756622
Laurel,152.59,46.1733,5,1,1,0.0,30.259715577691853
Lawrence,7654.192,2382.1465,166,21,21,0.013636363636363636,31.122115828816415
Lawton,1057.49,235.50850000000003,13,2,2,0.0,22.270517924519385
Layton,4.96,2.3312,4,1,1,0.0,47.0
League City,875.3679999999999,-31.349899999999998,25,2,2,0.2333333333333333,-3.581339505213807
Lebanon,488.896,83.8057,14,3,3,0.20000000000000004,17.141825664353973
Lehi,1516.726,451.6626,8,2,2,0.1,29.778786676037726
Leominster,217.49,79.5016,20,2,2,0.0,36.554140420249205
Lewiston,115.664,35.6202,7,2,2,0.05,30.79627196016046
Lincoln Park,387.602,68.3691,11,2,2,0.03333333333333333,17.638995670816975
Linden,115.36,49.6048,7,1,1,0.0,43.0
Lindenhurst,55.48,26.6304,1,1,1,0.0,48.00000000000001
Little Rock,3560.35,1154.6691,90,6,6,0.0,32.43133680677462
Littleton,72.294,-98.8018,1,1,1,0.7,-136.66666666666666
Lodi,136.98,44.4858,9,2,2,0.0,32.47612790188349
Logan,280.276,46.9632,21,1,1,0.08,16.75605474603605
Long Beach,13455.03,2108.9306,256,33,32,0.05737704918032787,15.673919716269676
Longmont,915.088,34.8252,10,2,2,0.20000000000000004,3.8056667774028297
Longview,119.21000000000001,38.8983,10,2,2,0.0,32.63006459189665
Lorain,2015.1109999999999,-632.9229,35,5,5,0.30000000000000004,-31.408835543054455
Los Angeles,175851.34100000001,30440.7579,2879,384,304,0.07429718875502007,17.310506548824097
Louisville,12345.806,-1430.3129000000001,221,29,28,0.14210526315789473,-11.585415322417994
Loveland,20.964000000000002,4.4778,8,3,3,0.325,21.359473382942184
Lowell,4837.93,1312.5717,60,7,7,0.0,27.130853484858193
Lubbock,592.564,147.1387,22,4,4,0.46666666666666673,24.830853713691685
Macon,364.01,144.8535,24,4,4,0.0,39.793824345485014
Madison,5346.79,1123.6552,37,4,4,0.0,21.015510240723874
Malden,228.38,31.1692,9,2,2,0.0,13.64795516244855
Manchester,2126.28,600.5054,42,4,4,0.0,28.242065955565586
Manhattan,273.96,10.9584,2,1,1,0.0,4.0
Mansfield,558.877,-66.7913,13,2,2,0.25,-11.95098384796655
Manteca,452.182,172.2358,8,2,2,0.06666666666666667,38.0899283916653
Maple Grove,882.87,385.01009999999997,13,2,2,0.0,43.60892317102178
Margate,15.552,2.3328,3,1,1,0.2,15.000000000000002
Marietta,2938.62,512.1456,33,3,3,0.0,17.42809890356698
Marion,3369.346,-380.3623,63,11,11,0.175,-11.288905918240513
Marlborough,206.64,67.60679999999999,6,1,1,0.0,32.717189314750286
Marysville,102.18,3.3150000000000004,15,2,2,0.0,3.2442748091603053
Mason,94.264,-4.235199999999999,7,1,1,0.5333333333333333,-4.492913519477212
Mcallen,866.716,-163.87169999999998,54,4,4,0.39473684210526316,-18.907196821104026
Medford,90.218,19.700899999999997,10,3,3,0.32499999999999996,21.83699483473364
Medina,2477.722,-1343.0446,38,3,3,0.43333333333333335,-54.20481393796398
Melbourne,95.616,9.5616,2,1,1,0.2,10.0
Memphis,5942.341,-1479.04,116,14,14,0.28,-24.8898540154461
Mentor,693.13,-123.27420000000002,15,1,1,0.25,-17.785148529135952
Meriden,1550.6799999999998,470.2212,32,5,5,0.0,30.323548378775765
Meridian,329.052,95.214,11,2,2,0.05,28.935852084169067
Mesa,4037.7400000000002,-559.2314,128,14,14,0.32857142857142857,-13.850109219513888
Mesquite,52.147999999999996,-87.61999999999999,14,3,3,0.52,-168.02178415279587
Miami,8673.0745,-1150.3704,215,34,34,0.3271929824561403,-13.263697896288104
Middletown,1154.61,157.6159,28,7,6,0.0,13.651007699569554
Midland,5291.512,2293.6828,39,5,5,0.008333333333333333,43.34645371682045
Milford,961.74,319.054,30,3,3,0.0,33.174662590720985
Milwaukee,11410.22,2793.0851000000002,201,23,23,0.0,24.478801460445112
Minneapolis,16870.54,6824.584599999999,80,13,13,0.0,40.45267430680938
Miramar,1531.192,32.28099999999999,41,3,3,0.2625,2.1082267932434333
Mishawaka,776.24,96.59200000000001,11,2,2,0.0,12.443574152324025
Mission Viejo,775.986,151.06449999999998,18,3,3,0.03,19.467425958715747
Missoula,487.984,152.495,2,1,1,0.2,31.25
Missouri City,6.37,-9.555,7,1,1,0.8,-150.0
Mobile,5462.99,2175.8292,52,4,4,0.0,39.828540780781225
Modesto,326.15000000000003,19.943,10,3,3,0.13333333333333333,6.114671163575042
Monroe,2970.4339999999997,696.6242,73,12,12,0.08571428571428572,23.451933286516383
Montebello,27.88,3.9032,2,1,1,0.0,14.000000000000002
Montgomery,3722.73,834.6571,48,6,6,0.0,22.420565015459086
Moorhead,543.86,101.4106,9,2,2,0.0,18.646453131320563
Moreno Valley,1262.4660000000001,353.6301,42,5,5,0.02,28.011059307735813
Morgan Hill,545.01,7.846,16,1,1,0.0875,1.4396066127227023
Morristown,5033.099999999999,1838.2271,31,5,5,0.0,36.5227613200612
Mount Pleasant,563.08,93.5208,8,2,2,0.0,16.608794487461815
Mount Vernon,2119.632,662.5146,33,5,5,0.025,31.256114268891956
Murfreesboro,337.333,15.6891,30,4,4,0.33636363636363636,4.650923568106292
Murray,410.938,131.5286,23,4,4,0.04,32.00692075203559
Murrieta,484.65,92.0835,3,1,1,0.0,19.0
Muskogee,1721.7,442.5966,14,2,2,0.0,25.70695243073706
Naperville,1288.3029999999999,-146.5324,33,5,5,0.4375,-11.374063399681598
Nashua,35.94,13.512599999999999,10,2,2,0.0,37.59766277128548
Nashville,6070.863,-837.4908,114,16,16,0.26896551724137935,-13.79525118586929
New Albany,209.55,73.3529,15,1,1,0.0,35.00496301598664
New Bedford,235.96999999999997,50.4861,22,4,4,0.0,21.39513497478493
New Brunswick,14.77,7.156700000000001,3,1,1,0.0,48.45429925524713
New Castle,84.61,23.0839,9,1,1,0.0,27.282708899657248
New Rochelle,1255.228,368.411,27,5,5,0.05555555555555555,29.35012603288008
New York City,256368.161,62036.9837,3417,450,355,0.05617486338797815,24.198396344544516
Newark,28576.119,5793.7588,362,45,44,0.10315789473684212,20.274827382962677
Newport News,3321.9500000000003,1197.0469,43,5,5,0.0,36.03446469694005
Niagara Falls,199.84199999999998,59.238299999999995,12,2,2,0.06666666666666667,29.64256762842646
Noblesville,3091.1800000000003,353.313,15,2,2,0.0,11.429712925161265
Norfolk,17.43,8.0178,3,1,1,0.0,46.0
Normal,366.744,-110.0232,4,1,1,0.3,-30.0
Norman,1351.3300000000002,269.5287,9,2,2,0.0,19.94543893793522
North Charleston,284.25,9.670200000000001,5,2,2,0.0,3.4020052770448554
North Las Vegas,9801.002,2247.6899000000003,58,7,7,0.037500000000000006,22.933266415005324
North Miami,22.128,3.0798000000000005,6,2,2,0.2,13.918112798264644
Norwich,414.03999999999996,164.08960000000002,12,4,4,0.0,39.63133996715294
Oak Park,591.0519999999999,152.0428,12,2,2,0.06666666666666667,25.724098725662042
Oakland,5964.418,834.1029000000001,107,13,13,0.07692307692307693,13.984648627913069
Oceanside,4350.738,772.6799,107,13,13,0.060000000000000005,17.75974328952927
Odessa,976.1239999999999,-69.71180000000001,22,4,3,0.36,-7.141695112506199
Oklahoma City,6596.820000000001,1580.7607,78,11,11,0.0,23.962465248407565
Olathe,895.79,207.4108,15,2,2,0.0,23.15395349356434
Olympia,1020.448,139.6269,15,3,3,0.08,13.682902019505159
Omaha,6312.53,1841.6268,98,14,14,0.0,29.17414729118119
Ontario,283.92,-46.137,5,1,1,0.2,-16.25
Orange,211.11,66.5698,17,5,5,0.0,31.53322912225854
Orem,2994.0879999999997,514.6335,32,5,5,0.022222222222222223,17.188322454116246
Orland Park,339.96,67.992,5,1,1,0.2,20.000000000000004
Orlando,1740.08,377.7253,39,6,6,0.29090909090909095,21.707352535515607
Ormond Beach,2.808,-1.9656,3,1,1,0.7,-70.0
Oswego,321.978,-536.1275999999999,13,1,1,0.6,-166.5106311611352
Overland Park,606.91,203.5218,23,3,3,0.0,33.53409896030713
Owensboro,71.18,27.642799999999998,5,2,2,0.0,38.83506602978364
Oxnard,1558.1000000000001,346.4577,31,4,4,0.044444444444444446,22.235909120082148
Palatine,116.312,23.2624,7,1,1,0.2,20.0
Palm Coast,274.428,17.6552,20,3,3,0.39999999999999997,6.433454312242191
Park Ridge,685.0,-238.45,17,3,3,0.3333333333333333,-34.810218978102185
Parker,1067.942,-164.1893,24,2,2,0.44999999999999996,-15.374364899966478
Parma,3879.756,31.061799999999995,40,4,4,0.24,0.8006122034478456
Pasadena,6590.146,89.87190000000004,156,20,18,0.1761904761904762,1.3637315470704297
Pasco,2201.112,357.5244,27,2,2,0.06666666666666667,16.242899043756065
Passaic,1562.086,356.8186,24,1,1,0.049999999999999996,22.842442733626704
Paterson,2243.21,740.49,62,6,6,0.0,33.01028436927439
Pearland,494.996,39.4131,13,2,2,0.39999999999999997,7.962306766115282
Pembroke Pines,1714.3754999999999,-72.4491,47,4,4,0.325,-4.225976164498385
Pensacola,2.214,-1.476,3,1,1,0.7,-66.66666666666666
Peoria,1842.8319999999999,-127.86630000000002,80,9,9,0.3869565217391305,-6.938576061192775
Perth Amboy,1717.08,633.644,22,4,4,0.0,36.902415729028355
Pharr,1540.708,-237.5528,22,2,2,0.32499999999999996,-15.418418025998434
Philadelphia,109077.013,-13837.7674,1981,265,239,0.3268156424581006,-12.686236099992948
Phoenix,11000.257,-2790.8831999999998,224,29,28,0.353968253968254,-25.371072694028875
Pico Rivera,145.9,62.737,5,1,1,0.0,43.0
Pine Bluff,212.91,70.2048,7,1,1,0.0,32.97393264759758
