Product Name,Sales,Profit,Quantity,Orders,Profit Margin
"3D Systems Cube Printer, 2nd Generation, White",2339.982,-467.9964,3,2,-20.0
3M Hangers With Command Adhesive,108.03999999999999,36.001,33,8,33.321917808219176
3M Office Air Cleaner,259.8,90.93,10,2,35.0
3M Organizer Strips,83.16,10.151999999999997,26,7,12.207792207792204
3M Polarizing Light Filter Sleeves,216.34,75.34599999999999,14,4,34.82758620689654
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,569.8368,16,4,26.000000000000007
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,-20.476799999999997,14,4,-6.749999999999999
4009 Highlighters,8.04,2.7336,6,1,34.0
4009 Highlighters by Sanford,171.14,53.8096,44,8,31.441860465116285
50 Colored Long Pencils,138.176,32.9184,14,5,23.823529411764707
"6"" Cubicle Wall Clock, Black",124.586,26.211599999999997,19,4,21.038961038961038
9-3/4 Diameter Round Wall Clock,455.07,183.1312,34,8,40.24242424242425
"ACCOHIDE 3-Ring Binder, Blue, 1""",147.028,50.7164,44,13,34.49438202247192
ACCOHIDE Binder by Acco,65.25399999999999,19.287100000000002,21,4,29.556962025316462
APC 7 Outlet Network SurgeArrest Surge Protector,1207.2,80.47999999999998,20,8,6.666666666666663
ARKON Windshield Dashboard Air Vent Car Mount Holder,216.95999999999998,-15.594000000000001,14,4,-7.187500000000001
AT&T 1070 Corded Phone,1070.304,133.788,12,3,12.5
AT&T 1080 Corded phone,1945.258,145.2094,18,7,7.464788732394366
AT&T 1080 Phone,1589.084,271.24019999999996,13,3,17.068965517241377
AT&T 17929 Lendline Telephone,1339.104,167.388,35,10,12.5
AT&T 841000 Phone,1614.6,165.6,28,7,10.256410256410255
AT&T CL2909,755.9399999999999,50.395999999999994,8,3,6.666666666666667
AT&T CL82213,481.234,131.3247,17,5,27.289156626506028
AT&T CL83451 4-Handset Telephone,1936.306,473.777,10,4,24.46808510638298
AT&T EL51110 DECT,377.97,109.6113,3,1,28.999999999999996
AT&T SB67148 SynJ,475.128,89.74640000000001,8,3,18.888888888888893
AT&T TR1909W,1738.662,340.173,15,4,19.565217391304348
Aastra 57i VoIP phone,3684.708,575.3316,26,7,15.614035087719296
Aastra 6757i CT Wireless VoIP phone,2929.984,482.5856,16,6,16.470588235294116
Acco 3-Hole Punch,137.53199999999998,55.538399999999996,36,9,40.382165605095544
Acco 6 Outlet Guardian Basic Surge Suppressor,38.272,-3.6608,7,2,-9.565217391304348
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,289.456,-113.76719999999999,31,6,-39.303797468354425
Acco 6 Outlet Guardian Premium Surge Suppressor,432.432,60.424,35,8,13.973063973063974
Acco 6 Outlet Guardian Standard Surge Suppressor,149.916,22.971,15,5,15.32258064516129
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5,401.21400000000006,31,7,13.200000000000001
"Acco Banker's Clasps, 5 3/4""-Long",40.896,18.0,15,5,44.01408450704225
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",66.03,30.2815,19,5,45.86021505376344
Acco D-Ring Binder w/DublLock,235.18,-102.8378,31,9,-43.72727272727273
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",287.868,64.1445,39,10,22.282608695652172
Acco Economy Flexible Poly Round Ring Binder,11.484,-5.742,6,4,-50.0
Acco Expandable Hanging Binders,38.918,1.0208000000000004,11,4,2.6229508196721323
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",410.004,111.2868,36,10,27.142857142857142
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",122.18,7.449999999999999,28,6,6.097560975609755
Acco Glide Clips,19.6,9.604,5,1,48.99999999999999
Acco Hanging Data Binders,41.910000000000004,8.2296,17,7,19.636363636363633
Acco Hot Clips Clips to Go,67.116,25.497500000000002,23,6,37.990196078431374
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",175.388,73.8674,37,7,42.11656441717791
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",62.946,-0.16139999999999866,23,4,-0.2564102564102543
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",67.25,19.6908,17,5,29.28
Acco Perma 2700 Stacking Storage Drawers,208.18,5.948,8,4,2.857142857142857
Acco Perma 3000 Stacking Storage Drawers,373.44399999999996,16.5742,21,6,4.438202247191012
Acco Perma 4000 Stacking Storage Drawers,457.96799999999996,30.044,31,11,6.560283687943263
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",59.817,13.1826,24,5,22.038216560509554
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",63.627,-13.906500000000001,37,8,-21.856287425149702
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",131.097,18.412499999999998,45,11,14.044943820224717
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",91.44,34.8996,28,9,38.166666666666664
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",85.255,8.669999999999998,10,4,10.169491525423727
Acco Side-Punched Conventional Columnar Pads,41.64,-7.8075,15,4,-18.75
"Acco Six-Outlet Power Strip, 4' Cord Length",343.076,81.5452,41,9,23.768844221105525
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,448.902,-7.041599999999996,14,4,-1.5686274509803915
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",452.96500000000003,105.48499999999999,8,3,23.287671232876708
Acco Suede Grain Vinyl Round Ring Binder,38.641999999999996,-4.892799999999999,29,8,-12.661870503597122
Acco Translucent Poly Ring Binders,91.728,16.2864,31,8,17.75510204081633
Accohide Poly Flexible Ring Binders,43.758,-19.822000000000003,34,8,-45.2991452991453
"Acme 10"" Easy Grip Assistive Scissors",448.76800000000003,129.722,26,8,28.90625
Acme Box Cutter Scissors,306.9,72.2238,31,6,23.533333333333335
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",45.144,10.1916,7,3,22.575757575757574
Acme Design Stainless Steel Bent Scissors,88.92,24.0084,13,3,27.0
Acme Elite Stainless Steel Scissors,95.076,21.0168,12,5,22.10526315789474
Acme Forged Steel Scissors with Black Enamel Handles,279.3,67.7768,32,8,24.266666666666666
Acme Galleria Hot Forged Steel Scissors with Colored Handles,195.05200000000002,49.8641,13,3,25.564516129032256
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",458.7,103.416,36,7,22.545454545454547
Acme Kleen Earth Office Shears,44.232,11.1744,12,5,25.263157894736842
Acme Kleencut Forged Steel Scissors,35.587999999999994,7.462,7,3,20.967741935483875
Acme Office Executive Series Stainless Steel Trimmers,159.402,26.2242,21,7,16.451612903225808
Acme Preferred Stainless Steel Scissors,90.88,26.3552,16,4,29.000000000000004
Acme Rosewood Handle Letter Opener,43.67,-3.4936000000000003,12,3,-8.0
Acme Serrated Blade Letter Opener,13.992,-1.7489999999999999,5,2,-12.499999999999998
Acme Softgrip Scissors,166.056,33.1298,23,4,19.950980392156865
Acme Stainless Steel Office Snips,81.424,12.431700000000001,13,4,15.267857142857144
Acme Tagit Stainless Steel Antibacterial Scissors,196.01999999999998,37.026,22,6,18.888888888888893
Acme Titanium Bonded Scissors,102.0,20.23,13,5,19.833333333333332
Acme Value Line Scissors,76.64999999999999,20.44,22,10,26.66666666666667
Acrylic Self-Standing Desk Frames,93.984,32.7342,37,8,34.82954545454546
"Adams ""While You Were Out"" Message Pads",72.848,31.400000000000002,24,5,43.10344827586207
"Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",227.04,104.4384,33,8,46.0
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",94.928,43.1364,14,3,45.44117647058824
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",172.672,72.70400000000001,32,7,42.10526315789474
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",132.888,60.9168,24,10,45.84070796460177
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",223.44,111.72,28,7,50.0
"Adams Telephone Message Books, 5 1/4 x 11",80.936,32.918,15,5,40.67164179104477
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",40.896,16.3584,8,3,40.0
Adjustable Depth Letter/Legal Cart,7730.196,1932.549,45,11,25.0
Adjustable Personal File Tote,270.24800000000005,53.3984,18,5,19.75903614457831
Adtran 1202752G1,1990.6419999999998,312.4552,18,5,15.69620253164557
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1051.7759999999998,277.2864,18,4,26.363636363636367
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",822.738,311.7744,28,5,37.89473684210527
Advantus Map Pennant Flags and Round Head Tacks,87.69,20.54,25,6,23.423423423423422
Advantus Motivational Note Cards,227.94,94.32000000000001,20,5,41.379310344827594
Advantus Panel Wall Acrylic Frame,87.52,25.162,20,5,28.749999999999996
Advantus Panel Wall Certificate Holder - 8.5x11,270.84,108.092,23,6,39.90990990990991
Advantus Plastic Paper Clips,225.0,102.8,47,10,45.68888888888889
Advantus Push Pins,54.936,20.2086,27,7,36.78571428571429
"Advantus Push Pins, Aluminum Head",139.44,43.2264,24,5,31.0
Advantus Rolling Drawer Organizers,1115.92,233.18880000000001,31,6,20.896551724137932
Advantus Rolling Storage Box,428.75,90.7235,27,10,21.16
Advantus SlideClip Paper Clips,46.376000000000005,19.778,15,3,42.647058823529406
Advantus T-Pin Paper Clips,64.042,20.0244,16,5,31.267605633802813
Airmail Envelopes,1359.6660000000002,514.4909,19,6,37.839506172839506
Akro Stacking Bins,91.524,-6.9432,13,6,-7.586206896551724
Akro-Mils 12-Gallon Tote,113.202,21.548099999999998,13,4,19.035087719298243
"Alliance Big Bands Rubber Bands, 12/Pack",29.7,0.0,15,4,0.0
Alliance Rubber Bands,13.440000000000001,0.5376000000000001,8,2,4.0
"Alliance Super-Size Bands, Assorted Sizes",197.61200000000002,-10.3474,27,4,-5.2362204724409445
Alphabetical Labels for Top Tab Filing,518.0,244.2,37,9,47.14285714285714
Aluminum Document Frame,244.39999999999998,56.211999999999996,22,5,23.0
Aluminum Screw Posts,354.032,41.202,41,11,11.637931034482758
AmazonBasics 3-Button USB Wired Mouse,88.074,32.2938,14,5,36.666666666666664
American Pencil,48.93,14.189699999999998,21,6,28.999999999999996
Ames Color-File Green Diamond Border X-ray Mailers,1360.476,559.3068000000001,18,4,41.111111111111114
Ampad #10 Peel & Seel Holiday Envelopes,53.760000000000005,25.8048,12,3,48.0
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",27.468,11.2924,14,4,41.111111111111114
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",106.72200000000001,47.187,25,8,44.21487603305784
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾ x 11",124.8,56.16,20,5,44.99999999999999
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",38.135999999999996,15.663,9,4,41.07142857142858
Anderson Hickey Conga Table Tops & Accessories,51.782,-17.514499999999998,5,2,-33.8235294117647
"Angle-D Binders with Locking Rings, Label Holders",197.82999999999998,35.332,42,10,17.85977859778598
Angle-D Ring Binders,39.384,-1.9691999999999992,14,6,-4.999999999999998
Anker 24W Portable Micro USB Car Charger,61.544,14.0672,8,2,22.857142857142858
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,339.83,23.1884,22,6,6.8235294117647065
Anker Astro 15000mAh USB Portable Charger,599.88,-23.995199999999997,13,5,-3.9999999999999996
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,147.926,-31.984,9,4,-21.621621621621625
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,499.75,99.55019999999999,26,5,19.919999999999998
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,491.836,32.989000000000004,17,4,6.707317073170732
Apple EarPods with Remote and Mic,251.91,50.382,10,4,20.0
Apple iPhone 5,12996.600000000002,1611.5784,24,6,12.399999999999999
Apple iPhone 5C,1339.866,229.977,15,4,17.16417910447761
Apple iPhone 5S,4901.914000000001,512.991,11,4,10.465116279069765
Array Memo Cubes,54.908,25.848200000000002,11,3,47.075471698113205
"Array Parchment Paper, Assorted Colors",106.288,49.504000000000005,15,4,46.57534246575344
Artistic Insta-Plaque,156.8,61.152,10,3,38.99999999999999
Assorted Color Push Pins,34.39,8.923300000000001,21,8,25.947368421052637
Astroparche Fine Business Paper,144.672,65.0496,29,6,44.96350364963504
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,593.964,12,4,30.0
Ativa MDM8000 8-Sheet Micro-Cut Shredder,917.8979999999999,393.2563,11,2,42.84313725490196
Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.9461,11,2,49.0
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.0268,-113.2606,3,2,-28.313253012048197
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,780.3302,35,8,10.349601938386984
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,-126.44099999999996,27,6,-2.4390243902439015
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,15.049,26,8,0.273972602739726
Avanti 1.7 Cu. Ft. Refrigerator,2221.56,476.6256,24,4,21.454545454545457
Avanti 4.4 Cu. Ft. Refrigerator,3511.012,383.6776,24,7,10.92783505154639
Avaya 4621SW VoIP phone,709.92,79.866,12,4,11.25
Avaya 5410 Digital phone,625.508,-10.878400000000003,13,4,-1.739130434782609
Avaya 5420 Digital phone,1538.886,323.976,12,3,21.05263157894737
Avaya IP Phone 1140E VoIP phone,1394.95,362.687,5,1,26.0
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",20.65,9.498999999999999,5,2,46.0
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",137.808,-14.4072,27,6,-10.454545454545455
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1233.412,524.5054,43,11,42.524752475247524
Avery 473,248.4,119.232,24,6,48.0
Avery 474,78.336,34.272,30,9,43.75
Avery 475,266.4,133.2,18,4,50.0
Avery 476,137.11599999999999,54.5986,37,10,39.81927710843374
Avery 477,573.9639999999999,244.23999999999998,20,4,42.5531914893617
Avery 478,88.38,43.3062,18,4,49.0
Avery 479,16.704,6.8382,7,3,40.9375
Avery 48,90.72,39.69,15,3,43.75
Avery 480,89.25,42.45,24,6,47.563025210084035
Avery 481,91.168,43.120000000000005,30,5,47.2972972972973
Avery 482,11.56,5.4332,4,2,47.0
Avery 483,83.664,32.569199999999995,19,6,38.92857142857142
Avery 484,9.216,3.3408,4,1,36.25000000000001
Avery 485,639.03,300.3441,51,8,47.00000000000001
Avery 486,168.13,75.1468,24,9,44.69565217391304
Avery 487,84.87,35.9775,25,7,42.39130434782608
Avery 488,51.03,23.183999999999997,17,6,45.432098765432094
Avery 489,159.39,73.278,16,5,45.974025974025984
Avery 49,66.816,31.564799999999998,24,6,47.241379310344826
Avery 490,177.6,81.4,13,5,45.833333333333336
Avery 491,45.43,18.6676,12,3,41.090909090909086
Avery 492,53.568,22.464,20,5,41.935483870967744
Avery 493,55.974000000000004,23.4207,13,4,41.84210526315789
Avery 494,56.376,23.959799999999998,23,6,42.5
Avery 495,97.02,42.588,16,4,43.8961038961039
Avery 496,50.25,22.950000000000003,14,4,45.671641791044784
Avery 497,24.023999999999997,11.211200000000002,8,2,46.66666666666668
Avery 498,35.258,15.3459,13,3,43.52459016393443
Avery 499,176.292,68.724,40,11,38.983050847457626
Avery 5,5.76,2.8224,2,1,49.00000000000001
Avery 50,235.564,102.74600000000001,20,5,43.61702127659575
Avery 500,58.48,27.4856,8,2,47.0
Avery 501,66.42,23.3946,22,8,35.22222222222222
Avery 502,17.64,6.1739999999999995,7,3,35.0
Avery 503,155.25,74.52,15,4,48.0
Avery 505,372.96000000000004,165.76000000000002,28,7,44.44444444444445
Avery 506,66.08,28.166600000000003,17,3,42.62500000000001
Avery 507,24.192,8.64,10,2,35.714285714285715
Avery 508,87.398,39.8201,19,6,45.561797752808985
Avery 509,32.364000000000004,14.041799999999999,13,4,43.38709677419354
Avery 51,95.75999999999999,41.328,16,5,43.15789473684211
Avery 510,21.75,8.100000000000001,7,3,37.24137931034483
Avery 511,56.672,24.64,20,6,43.47826086956522
Avery 512,84.388,35.373599999999996,32,5,41.91780821917808
Avery 513,93.624,34.4616,22,5,36.80851063829787
Avery 514,47.808,22.8384,17,4,47.77108433734939
Avery 515,62.650000000000006,29.445500000000003,5,2,47.0
Avery 516,109.64999999999999,51.535500000000006,15,4,47.00000000000001
Avery 517,44.28,18.8559,13,4,42.58333333333333
Avery 518,106.47,49.14,35,8,46.15384615384615
Avery 519,121.34599999999999,51.6086,18,6,42.53012048192772
Avery 52,68.634,31.475699999999996,19,6,45.86021505376344
Avery 520,46.620000000000005,22.05,15,5,47.29729729729729
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",277.38,126.684,28,7,45.67164179104478
Avery Arch Ring Binders,1318.87,87.15000000000003,40,10,6.607929515418505
Avery Binder Labels,26.063,9.8806,8,4,37.91044776119403
Avery Binding System Hidden Tab Executive Style Index Sets,91.743,16.733,26,8,18.238993710691826
Avery Durable Binders,87.264,13.824,50,12,15.841584158415841
"Avery Durable Plastic 1"" Binders",116.224,37.5004,34,7,32.265625
Avery Durable Poly Binders,82.95,-15.5946,33,6,-18.8
Avery Durable Slant Ring Binders,51.480000000000004,-23.76,19,5,-46.15384615384615
Avery Durable Slant Ring Binders With Label Holder,90.706,12.456400000000002,36,9,13.732718894009219
"Avery Durable Slant Ring Binders, No Labels",89.55,13.611600000000001,36,9,15.200000000000003
Avery File Folder Labels,113.472,48.8448,44,13,43.045685279187815
"Avery Flip-Chart Easel Binder, Black",239.466,37.8222,17,4,15.794392523364486
Avery Fluorescent Highlighter Four-Color Set,65.464,9.352,24,8,14.285714285714288
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",99.80000000000001,-0.698599999999999,19,6,-0.6999999999999988
Avery Hanging File Binders,105.846,21.8868,26,6,20.677966101694917
Avery Heavy-Duty EZD  Binder With Locking Rings,110.48400000000001,29.239199999999997,28,6,26.464646464646457
Avery Heavy-Duty EZD View Binder with Locking Rings,170.984,29.730800000000002,41,10,17.388059701492537
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",7.8,3.042,4,2,38.99999999999999
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",219.78,68.376,31,6,31.11111111111111
Avery Hi-Liter Fluorescent Desk Style Markers,20.279999999999998,7.5036000000000005,6,2,37.00000000000001
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",26.08,9.6496,9,2,37.0
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,7.7,3.157,2,1,41.0
Avery Hi-Liter Smear-Safe Highlighters,123.80799999999999,34.1056,24,6,27.54716981132076
Avery Hidden Tab Dividers for Binding Systems,31.588,-7.032800000000001,24,7,-22.264150943396228
Avery Hole Reinforcements,116.501,14.827399999999999,32,9,12.727272727272727
Avery Legal 4-Ring Binder,258.054,90.214,16,4,34.959349593495936
Avery Metallic Poly Binders,135.80100000000002,43.4334,31,6,31.983122362869192
Avery Non-Stick Binders,217.316,43.553,71,20,20.041322314049587
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,68.172,30.8568,12,3,45.26315789473684
Avery Personal Creations Heavyweight Cards,103.86,37.8512,11,3,36.44444444444444
Avery Poly Binder Pockets,78.044,14.749600000000001,34,8,18.89908256880734
Avery Premier Heavy-Duty Binder with Round Locking Rings,191.352,29.416800000000002,21,7,15.37313432835821
Avery Printable Repositionable Plastic Tabs,115.24000000000001,42.312000000000005,16,6,36.71641791044776
Avery Recycled Flexi-View Covers for Binding Systems,197.169,-69.5702,32,7,-35.28455284552845
Avery Reinforcements for Hole-Punch Pages,28.512,-16.137,41,8,-56.59722222222222
Avery Round Ring Poly Binders,36.919999999999995,12.2972,17,6,33.307692307692314
Avery Self-Adhesive Photo Pockets for Polaroid Photos,143.01,-2.1791999999999967,41,11,-1.5238095238095215
"Avery Trapezoid Extra Heavy Duty 4"" Binders",314.54999999999995,0.0,15,4,0.0
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",545.034,85.2384,22,7,15.639097744360903
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",25.83,-4.919999999999999,25,6,-19.047619047619044
Avery White Multi-Purpose Labels,95.616,41.832,20,4,43.75
Avoid Verbal Orders Carbonless Minifold Book,68.276,29.9468,21,5,43.86138613861386
BIC Brite Liner Grip Highlighters,24.272,8.938,17,5,36.82432432432433
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",118.72,43.7144,29,6,36.82142857142857
BIC Brite Liner Highlighters,86.112,30.8844,23,7,35.86538461538461
"BIC Brite Liner Highlighters, Chisel Tip",123.12,30.5856,21,6,24.842105263157894
BIC Liqua Brite Liner,173.5,53.576800000000006,27,6,30.880000000000003
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",496.248,113.274,30,6,22.826086956521742
"BOSTON Ranger #55 Pencil Sharpener, Black",618.562,120.3337,27,9,19.45378151260504
BPI Conference Tables,2241.8675,-795.9725,26,5,-35.50488599348534
Bady BDG101FRU Card Printer,9279.884,1327.9834,14,4,14.310344827586208
Bagged Rubber Bands,25.704,0.3024,21,5,1.1764705882352942
Balt Solid Wood Rectangular Table,828.0965,-216.2545,11,4,-26.11464968152866
Balt Solid Wood Round Tables,6518.754,-1201.0581,19,4,-18.424657534246574
Balt Split Level Computer Training Table,1040.625,-357.97499999999997,12,5,-34.4
Barrel Sharpener,67.83000000000001,17.6358,19,4,25.999999999999996
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",1088.64,-104.832,16,5,-9.629629629629628
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",136.464,15.3522,2,1,11.25
"Belkin 19"" Center-Weighted Shelf, Gray",849.3119999999999,-47.184,16,4,-5.555555555555556
"Belkin 19"" Vented Equipment Shelf, Black",1400.256,-179.6652,31,10,-12.830882352941176
"Belkin 325VA UPS Surge Protector, 6'",1379.172,199.61700000000002,13,4,14.473684210526317
Belkin 5 Outlet SurgeMaster Power Centers,1776.048,207.024,40,10,11.656441717791411
Belkin 6 Outlet Metallic Surge Strip,262.449,28.749599999999997,29,9,10.954356846473027
Belkin 7 Outlet SurgeMaster II,631.68,176.8704,16,3,28.000000000000004
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,17.766,5,1,11.25
Belkin 7-Outlet SurgeMaster Home Series,106.172,2.794,10,5,2.6315789473684212
Belkin 8 Outlet Surge Protector,1073.676,188.508,30,7,17.55725190839695
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,737.754,89.97,15,5,12.195121951219512
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,168.4384,8,1,26.0
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,277.92,83.376,4,2,30.0
Belkin F5C206VTEL 6 Outlet Surge,464.196,110.304,22,7,23.762376237623762
Belkin F8E887 USB Wired Ergonomic Keyboard,563.812,66.2779,21,8,11.75531914893617
Belkin F9G930V10-GRY 9 Outlet Surge,770.112,162.57920000000001,16,5,21.111111111111114
Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,516.216,122.8368,29,8,23.795620437956202
Belkin F9M820V08 8 Outlet Surge,558.74,101.003,15,3,18.076923076923077
Belkin F9S820V06 8 Outlet Surge,266.336,-120.17599999999999,17,4,-45.12195121951219
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,64.972,12.994399999999999,8,3,20.0
Belkin OmniView SE Rackmount Kit,248.35999999999999,0.0,7,2,0.0
Belkin Premiere Surge Master II 8-outlet surge protector,952.168,55.38120000000001,26,7,5.816326530612245
Belkin QODE FastFit Bluetooth Keyboard,495.6,16.107,9,2,3.2499999999999996
"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",239.84,79.29709999999999,21,5,33.06249999999999
Belkin Standard 104 key USB Keyboard,265.538,5.1065000000000005,21,6,1.9230769230769231
Belkin iPhone and iPad Lightning Cable,83.944,6.2958,7,2,7.5
Berol Giant Pencil Sharpener,254.85000000000002,49.780699999999996,17,4,19.53333333333333
Bestar Classic Bookcase,1897.8102,-612.9386999999999,31,8,-32.29715489989463
Bevis 36 x 72 Conference Tables,4332.252,448.164,40,8,10.344827586206895
Bevis 44 x 96 Conference Tables,3253.2200000000003,-164.72000000000003,20,5,-5.063291139240507
Bevis Boat-Shaped Conference Table,2542.467,-445.587,15,6,-17.525773195876287
"Bevis Oval Conference Table, Walnut",6942.068,-856.0144,36,8,-12.330827067669173
Bevis Rectangular Conference Tables,1007.262,-586.8396,13,4,-58.2608695652174
"Bevis Round Bullnose 29"" High Table Top",4544.925,-192.18540000000002,24,5,-4.228571428571429
Bevis Round Conference Room Tables and Bases,519.941,-39.4438,4,2,-7.586206896551724
Bevis Round Conference Table Top & Single Column Base,2297.538,100.97460000000001,19,5,4.3949044585987265
"Bevis Round Conference Table Top, X-Base",2671.421,-519.941,20,6,-19.46308724832215
Bevis Steel Folding Chairs,1775.075,117.059,24,6,6.594594594594594
