City,Sales,Profit,Orders,Profit Margin,Performance
Beverly,2583.19,654.9194,1,25.3531253992157,High Sales - High Profit
Billings,8.288,2.6936,1,32.5,Low Sales - Low Profit
Bloomington,1567.74,-249.35500000000002,10,-15.905379718575785,High Sales - Low Profit
Boca Raton,63.007999999999996,-22.645599999999998,2,-35.94083291010665,Low Sales - Low Profit
Boise,1094.47,221.9373,3,20.278061527497325,High Sales - High Profit
Bolingbrook,218.308,-4.660999999999998,3,-2.1350568920974027,Low Sales - Low Profit
Bossier City,1417.18,336.9608,2,23.77685262281432,High Sales - High Profit
Bowling Green,2077.375,217.0617,6,10.448845297550996,High Sales - High Profit
Boynton Beach,469.585,50.661500000000004,4,10.788568629747544,Low Sales - Low Profit
Bozeman,43.66,20.8106,1,47.66513971598718,Low Sales - Low Profit
Brentwood,5090.114,1216.8104,6,23.90536636311093,High Sales - High Profit
Bridgeton,52.410000000000004,3.4415999999999998,1,6.566685746994848,Low Sales - Low Profit
Bristol,1251.182,81.6363,7,6.524734211329767,High Sales - High Profit
Broken Arrow,2439.53,575.5226,3,23.59153607457174,High Sales - High Profit
Broomfield,793.504,62.445,2,7.869525547445255,Low Sales - Low Profit
Brownsville,1292.2268000000001,202.072,4,15.637502642724943,High Sales - High Profit
Bryan,616.656,-213.7116,2,-34.6565345995174,Low Sales - Low Profit
Buffalo,9063.496,992.8791000000001,7,10.954703350671751,High Sales - High Profit
Buffalo Grove,831.399,-89.6478,2,-10.78276495401125,Low Sales - Low Profit
Bullhead City,22.288,6.7232,1,30.16511127063891,Low Sales - Low Profit
Burbank,3247.1580000000004,764.5337999999999,1,23.54470586278832,High Sales - High Profit
Burlington,21668.082,-3622.8772,15,-16.71987949833308,High Sales - Low Profit
Caldwell,455.63199999999995,58.6966,1,12.882457772939565,Low Sales - Low Profit
Camarillo,1467.5175,158.79559999999998,2,10.820695494261566,High Sales - High Profit
Cambridge,502.09000000000003,173.7276,3,34.600888286960505,Low Sales - High Profit
Canton,818.13,149.2776,2,18.24619559238752,Low Sales - High Profit
Carlsbad,419.34,157.7661,5,37.62247817999714,Low Sales - High Profit
Carol Stream,1305.81,-39.8683,1,-3.053147088780144,High Sales - Low Profit
Carrollton,2200.6459999999997,-470.21389999999997,8,-21.36708493778645,High Sales - Low Profit
Cary,505.20799999999997,54.0386,3,10.696307263542938,Low Sales - Low Profit
Cedar Hill,122.376,42.8316,2,35.0,Low Sales - Low Profit
Cedar Rapids,278.4,80.736,1,29.000000000000004,Low Sales - High Profit
Champaign,151.96,-182.352,1,-120.0,Low Sales - Low Profit
Chandler,1076.747,81.46049999999998,6,7.565426232903364,High Sales - High Profit
Chapel Hill,14.016,4.7304,1,33.75,Low Sales - Low Profit
Charlotte,13693.339,-429.7824,24,-3.138623822867454,High Sales - Low Profit
Charlottesville,102.60999999999999,22.6278,2,22.052236624110712,Low Sales - Low Profit
Chattanooga,988.803,27.191799999999994,6,2.749971430102861,High Sales - Low Profit
Chesapeake,5996.72,1262.787,10,21.057961685721526,High Sales - High Profit
Chester,1968.4789999999998,48.357800000000005,4,2.456607360302041,High Sales - Low Profit
Cheyenne,1603.136,100.196,1,6.25,High Sales - High Profit
Chicago,48539.541,-6654.5688,171,-13.709583285923532,High Sales - Low Profit
Chico,2050.178,205.12539999999998,3,10.005248324779604,High Sales - High Profit
Chula Vista,1041.62,248.43460000000002,3,23.850790115397174,High Sales - High Profit
Cincinnati,1611.976,175.3371,12,10.87715325786488,High Sales - High Profit
Citrus Heights,129.39,54.3438,1,42.00000000000001,Low Sales - Low Profit
Clarksville,2217.73,-1055.3532000000002,3,-47.587091305073216,High Sales - Low Profit
Cleveland,6346.185,-848.0079000000001,21,-13.362483129628272,High Sales - Low Profit
Clifton,336.82,98.58840000000001,1,29.270352116857673,Low Sales - High Profit
Clinton,5514.251,1274.2421,10,23.108162831180515,High Sales - High Profit
Clovis,111.42,11.635200000000001,1,10.44264943457189,Low Sales - Low Profit
Coachella,163.55,47.1736,1,28.843534087435035,Low Sales - Low Profit
College Station,291.042,-117.6224,2,-40.41423574604353,Low Sales - Low Profit
Colorado Springs,3694.009,-956.6841000000001,9,-25.89826121159965,High Sales - Low Profit
Columbia,25283.324,5606.1167,33,22.173179048767476,High Sales - High Profit
Columbus,38706.243,5897.1013,111,15.235530092651977,High Sales - High Profit
Commerce City,146.352,-32.9292,1,-22.5,Low Sales - Low Profit
Concord,10542.402,-718.6388999999999,21,-6.816652409953631,High Sales - Low Profit
Conroe,111.672,6.9795,1,6.25,Low Sales - Low Profit
Conway,301.96,45.294,1,15.0,Low Sales - Low Profit
Coon Rapids,503.13,136.4532,1,27.120863395146387,Low Sales - High Profit
Coppell,135.936,41.4892,2,30.521127589453855,Low Sales - Low Profit
Coral Gables,64.248,22.357799999999997,1,34.79921553978333,Low Sales - Low Profit
Coral Springs,824.992,18.556800000000003,4,2.249330902602692,Low Sales - Low Profit
Corpus Christi,220.54399999999998,-43.7304,3,-19.82842426001161,Low Sales - Low Profit
Costa Mesa,1497.67,297.20889999999997,5,19.84475218172227,High Sales - High Profit
Cottage Grove,144.35999999999999,54.796800000000005,1,37.958437240232755,Low Sales - Low Profit
Covington,413.68,115.10940000000001,2,27.825710694256433,Low Sales - High Profit
Cranston,4024.916,637.4977,5,15.838782722422032,High Sales - High Profit
Cuyahoga Falls,29.093999999999998,-12.575199999999999,3,-43.22265759263078,Low Sales - Low Profit
Dallas,20131.9322,-2846.5257,80,-14.139356678342082,High Sales - Low Profit
Danbury,27.46,9.8856,1,36.0,Low Sales - Low Profit
Danville,1202.254,213.0453,2,17.720490012925723,High Sales - High Profit
Davis,32.4,15.552,1,48.0,Low Sales - Low Profit
Daytona Beach,272.3315,-52.334,2,-19.217020432818092,Low Sales - Low Profit
Dearborn,1603.3100000000002,467.3864,2,29.15134315884014,High Sales - High Profit
Dearborn Heights,1051.5700000000002,140.8905,2,13.398109493424116,High Sales - High Profit
Decatur,6544.293000000001,689.0556,16,10.529106811079515,High Sales - High Profit
Deer Park,6.924,-10.386,1,-149.99999999999997,Low Sales - Low Profit
Delray Beach,242.536,29.0542,2,11.979335026552759,Low Sales - Low Profit
Deltona,893.24,122.1344,4,13.6731897362411,Low Sales - High Profit
Denver,12198.793,-244.92000000000002,17,-2.0077396181736997,High Sales - Low Profit
Des Moines,5463.278,1610.7442999999998,10,29.483110689223572,High Sales - High Profit
Des Plaines,1493.212,-236.7674,2,-15.856248141590076,High Sales - Low Profit
Detroit,42446.944,13181.790799999999,53,31.05474636760658,High Sales - High Profit
Dover,4878.074,1021.4940999999999,11,20.940520787507527,High Sales - High Profit
Draper,263.65,92.72550000000001,2,35.16992224540111,Low Sales - High Profit
Dublin,2401.16,-349.9295,6,-14.573352046510854,High Sales - Low Profit
Dubuque,1687.3,477.6744,2,28.309986368754814,High Sales - High Profit
Durham,879.96,116.8699,5,13.281274148824945,Low Sales - High Profit
Eagan,214.28,87.0338,3,40.61685644950532,Low Sales - High Profit
East Orange,377.27,174.6191,2,46.28491531264082,Low Sales - High Profit
East Point,268.4,102.0138,1,38.00812220566319,Low Sales - High Profit
Eau Claire,1645.65,427.49780000000004,4,25.97744356333364,High Sales - High Profit
Edinburg,88.27600000000001,27.8086,2,31.501880465811766,Low Sales - Low Profit
Edmond,959.55,243.10389999999998,1,25.335198791099995,High Sales - High Profit
Edmonds,2523.692,634.2478,5,25.13174349326304,High Sales - High Profit
El Cajon,865.616,52.6872,2,6.086671226040184,Low Sales - Low Profit
El Paso,3546.064,-179.9007,10,-5.0732502289862795,High Sales - Low Profit
Elkhart,171.43,16.6721,1,9.725310622411481,Low Sales - Low Profit
Elmhurst,891.6279999999999,-212.13209999999998,2,-23.791547596082673,Low Sales - Low Profit
Elyria,1.824,-1.3984,1,-76.66666666666667,Low Sales - Low Profit
Encinitas,591.981,71.0588,2,12.00356092509726,Low Sales - Low Profit
Englewood,124.056,13.7547,1,11.08749274521184,Low Sales - Low Profit
Escondido,94.548,27.753,3,29.353344333037185,Low Sales - Low Profit
Eugene,1465.032,134.03719999999998,1,9.149097084568801,High Sales - High Profit
Evanston,1753.799,411.88379999999995,3,23.485234054757697,High Sales - High Profit
Everett,5665.734,1361.4787000000001,9,24.030049769367924,High Sales - High Profit
Fairfield,9483.858,1210.3119,24,12.761809592678421,High Sales - High Profit
Fargo,919.91,230.1497,2,25.01871922253264,High Sales - High Profit
Farmington,718.72,169.4115,3,23.571279496883346,Low Sales - High Profit
Fayetteville,6925.926,1818.6692,20,26.25885982610845,High Sales - High Profit
Florence,7621.72,2168.9661,11,28.457698524742447,High Sales - High Profit
Fort Collins,935.252,-252.6926,5,-27.01866448828765,High Sales - Low Profit
Fort Lauderdale,4929.532499999999,-161.3551,12,-3.273233313706726,High Sales - Low Profit
Fort Worth,6602.7064,298.73269999999997,12,4.524397753018368,High Sales - High Profit
Frankfort,97.632,-26.055999999999997,2,-26.687971156997705,Low Sales - Low Profit
Franklin,11257.037,1664.8679,20,14.789574734452767,High Sales - High Profit
Freeport,739.15,-20.087999999999994,6,-2.7177162957451118,Low Sales - Low Profit
Fremont,1119.0099999999998,179.4696,7,16.038248094297643,High Sales - High Profit
Fresno,7888.5285,948.2681,11,12.020849008785351,High Sales - High Profit
Frisco,57.504,-18.8016,2,-32.69616026711186,Low Sales - Low Profit
Gaithersburg,405.91999999999996,105.541,1,26.00044343713047,Low Sales - High Profit
Garden City,312.38,90.6259,3,29.011428388501187,Low Sales - High Profit
Garland,67.704,-32.373,3,-47.815490960652255,Low Sales - Low Profit
Gastonia,895.06,-14.743599999999995,1,-1.6472191808370384,Low Sales - Low Profit
Georgetown,1786.42,402.76,3,22.54564995913615,High Sales - High Profit
Gilbert,4172.382,138.253,5,3.31352690141986,High Sales - High Profit
Gladstone,164.34,52.5888,1,32.0,Low Sales - Low Profit
Glendale,2917.865,182.8598,13,6.266904054848323,High Sales - High Profit
Glenview,158.376,13.8579,1,8.75,Low Sales - Low Profit
Goldsboro,34.944,3.0576,1,8.75,Low Sales - Low Profit
Grand Island,15.96,7.98,1,50.0,Low Sales - Low Profit
Grand Prairie,1012.486,-85.2311,7,-8.418002816829071,High Sales - Low Profit
Grand Rapids,526.13,233.92270000000002,6,44.46100773573072,Low Sales - High Profit
Grapevine,41.528,8.7749,1,21.130080909266038,Low Sales - Low Profit
Great Falls,4605.58,1582.7071,3,34.3649898601262,High Sales - High Profit
Greeley,30.351999999999997,10.3614,1,34.13745387453875,Low Sales - Low Profit
Green Bay,527.3199999999999,228.4764,4,43.327846468937274,Low Sales - High Profit
Greensboro,2406.78,-122.9534,8,-5.108626463573737,High Sales - Low Profit
Greenville,2117.83,-548.9884,5,-25.922212831058207,High Sales - Low Profit
Greenwood,1665.0500000000002,471.73220000000003,2,28.331413471066934,High Sales - High Profit
Gresham,2133.424,150.86440000000002,4,7.071468212600965,High Sales - High Profit
Grove City,123.588,13.1952,1,10.676764734440237,Low Sales - Low Profit
Gulfport,166.5,77.5761,3,46.592252252252244,Low Sales - High Profit
Hackensack,1456.16,451.2547,2,30.989362432699703,High Sales - High Profit
Hagerstown,43.8,20.586,1,47.0,Low Sales - Low Profit
Haltom City,269.32800000000003,51.955799999999996,2,19.29090180003564,Low Sales - Low Profit
Hamilton,328.224,-9.385000000000002,3,-2.8593277761528717,Low Sales - Low Profit
Hampton,2722.26,953.8323,5,35.03825130590024,High Sales - High Profit
Harlingen,471.404,18.1275,2,3.845427701080178,Low Sales - Low Profit
Harrisonburg,4388.71,889.5239,4,20.268459296695383,High Sales - High Profit
Hattiesburg,1722.84,582.0694,3,33.785458893454994,High Sales - High Profit
Helena,443.84,74.62219999999999,2,16.81286049026676,Low Sales - High Profit
Hempstead,2589.586,629.0645999999999,4,24.292091477170484,High Sales - High Profit
Henderson,17549.068,4911.8609,19,27.98929777923249,High Sales - High Profit
Hendersonville,319.538,-45.386700000000005,2,-14.20385055924491,Low Sales - Low Profit
Hesperia,1213.1715,98.5269,3,8.121432130576757,High Sales - High Profit
Hialeah,2338.949,-179.22749999999996,10,-7.662736553896641,High Sales - Low Profit
Hickory,40.764,-1.0956000000000001,2,-2.687665587282897,Low Sales - Low Profit
Highland Park,2035.096,-169.9406,3,-8.350495504880358,High Sales - Low Profit
Hillsboro,87.838,1.5455000000000005,2,1.7594890594048143,Low Sales - Low Profit
Holland,137.86,66.6588,2,48.352531553750175,Low Sales - Low Profit
Hollywood,1070.474,108.2012,8,10.107784028383689,High Sales - High Profit
Holyoke,301.96,60.392,1,20.0,Low Sales - Low Profit
Homestead,132.552,22.3291,2,16.8455398636007,Low Sales - Low Profit
Hoover,525.85,18.7173,2,3.5594371018351243,Low Sales - Low Profit
Hot Springs,245.82999999999998,62.083800000000004,2,25.254769556197378,Low Sales - Low Profit
Houston,64504.7604,-10153.548499999999,188,-15.74077391658678,High Sales - Low Profit
Huntington Beach,2527.82,880.0391999999999,5,34.814156071239246,High Sales - High Profit
Huntsville,9194.9868,161.83080000000012,17,1.7599894760044692,High Sales - High Profit
Independence,2417.37,975.663,2,40.36051576713536,High Sales - High Profit
Indianapolis,9306.42,2741.6538,12,29.459811613918134,High Sales - High Profit
Inglewood,3479.328,1026.6960000000001,4,29.508456805452095,High Sales - High Profit
Iowa City,9.99,4.4955,1,44.99999999999999,Low Sales - Low Profit
Irving,605.5,-100.51250000000002,5,-16.599917423616848,Low Sales - Low Profit
Jackson,24963.858,7581.6828,37,30.37063742310984,High Sales - High Profit
Jacksonville,44713.183,-2323.835,61,-5.19720324987823,High Sales - Low Profit
Jamestown,4708.79,1285.7714999999998,2,27.305772820618458,High Sales - High Profit
Jefferson City,86.62,8.662,1,10.0,Low Sales - Low Profit
Johnson City,765.848,11.856199999999994,3,1.5481139860651192,Low Sales - Low Profit
Jonesboro,2915.32,801.1113,5,27.479360756280613,High Sales - High Profit
Jupiter,2.064,0.1548,1,7.5,Low Sales - Low Profit
Keller,6.0,2.1,1,35.0,Low Sales - Low Profit
Kenner,89.32000000000001,19.7976,1,22.16480071652485,Low Sales - Low Profit
Kenosha,3906.73,1028.0728,3,26.315430039956688,High Sales - High Profit
Kent,1697.556,591.7956,6,34.86162459441692,High Sales - High Profit
Kirkwood,241.34,47.1344,1,19.530289218529877,Low Sales - Low Profit
Kissimmee,751.984,84.5982,1,11.25,Low Sales - High Profit
Knoxville,3928.166,-1165.0755000000001,10,-29.659528136030914,High Sales - Low Profit
La Crosse,830.41,272.0761,2,32.764068351778036,Low Sales - High Profit
La Mesa,367.53000000000003,114.387,1,31.12317361848012,Low Sales - High Profit
La Porte,1051.732,191.98579999999998,4,18.254251082975507,High Sales - High Profit
La Quinta,46.32,18.0648,1,39.0,Low Sales - Low Profit
Lafayette,25036.2,10018.3876,17,40.01560779990573,High Sales - High Profit
Laguna Niguel,290.983,41.9815,3,14.427475144596075,Low Sales - Low Profit
Lake Charles,547.41,241.2558,2,44.07223105167973,Low Sales - High Profit
Lake Elsinore,283.92,17.745,1,6.25,Low Sales - Low Profit
Lake Forest,1625.536,327.53139999999996,2,20.149132347730223,High Sales - High Profit
Lakeland,5606.8865000000005,-188.63649999999998,6,-3.3643716526096963,High Sales - Low Profit
Lakeville,4260.95,1346.6021,5,31.603330243255616,High Sales - High Profit
Lakewood,18192.047000000002,3234.0278,29,17.77715174108774,High Sales - High Profit
Lancaster,9891.464,-7239.0684,27,-73.18500476774722,High Sales - Low Profit
Lansing,1610.286,412.8734,3,25.63975591913486,High Sales - High Profit
Laredo,1024.34,-54.613899999999994,4,-5.331618407950485,High Sales - Low Profit
Las Cruces,98.77,43.9394,3,44.48658499544396,Low Sales - Low Profit
Las Vegas,1834.02,332.4433,8,18.126481717756622,High Sales - High Profit
Laurel,152.59,46.1733,1,30.259715577691853,Low Sales - Low Profit
Lawrence,7654.192,2382.1465,21,31.122115828816415,High Sales - High Profit
Lawton,1057.49,235.50850000000003,2,22.270517924519385,High Sales - High Profit
Layton,4.96,2.3312,1,47.0,Low Sales - Low Profit
League City,875.3679999999999,-31.349899999999998,2,-3.581339505213807,Low Sales - Low Profit
Lebanon,488.896,83.8057,3,17.141825664353973,Low Sales - High Profit
Lehi,1516.726,451.6626,2,29.778786676037726,High Sales - High Profit
Leominster,217.49,79.5016,2,36.554140420249205,Low Sales - High Profit
Lewiston,115.664,35.6202,2,30.79627196016046,Low Sales - Low Profit
Lincoln Park,387.602,68.3691,2,17.638995670816975,Low Sales - Low Profit
Linden,115.36,49.6048,1,43.0,Low Sales - Low Profit
Lindenhurst,55.48,26.6304,1,48.00000000000001,Low Sales - Low Profit
Little Rock,3560.35,1154.6691,6,32.43133680677462,High Sales - High Profit
Littleton,72.294,-98.8018,1,-136.66666666666666,Low Sales - Low Profit
Lodi,136.98,44.4858,2,32.47612790188349,Low Sales - Low Profit
Logan,280.276,46.9632,1,16.75605474603605,Low Sales - Low Profit
Long Beach,13455.03,2108.9306,33,15.673919716269676,High Sales - High Profit
Longmont,915.088,34.8252,2,3.8056667774028297,High Sales - Low Profit
Longview,119.21000000000001,38.8983,2,32.63006459189665,Low Sales - Low Profit
Lorain,2015.1109999999999,-632.9229,5,-31.408835543054455,High Sales - Low Profit
Los Angeles,175851.34100000001,30440.7579,384,17.310506548824097,High Sales - High Profit
Louisville,12345.806,-1430.3129000000001,29,-11.585415322417994,High Sales - Low Profit
Loveland,20.964000000000002,4.4778,3,21.359473382942184,Low Sales - Low Profit
Lowell,4837.93,1312.5717,7,27.130853484858193,High Sales - High Profit
Lubbock,592.564,147.1387,4,24.830853713691685,Low Sales - High Profit
Macon,364.01,144.8535,4,39.793824345485014,Low Sales - High Profit
Madison,5346.79,1123.6552,4,21.015510240723874,High Sales - High Profit
Malden,228.38,31.1692,2,13.64795516244855,Low Sales - Low Profit
Manchester,2126.28,600.5054,4,28.242065955565586,High Sales - High Profit
Manhattan,273.96,10.9584,1,4.0,Low Sales - Low Profit
Mansfield,558.877,-66.7913,2,-11.95098384796655,Low Sales - Low Profit
Manteca,452.182,172.2358,2,38.0899283916653,Low Sales - High Profit
Maple Grove,882.87,385.01009999999997,2,43.60892317102178,Low Sales - High Profit
Margate,15.552,2.3328,1,15.000000000000002,Low Sales - Low Profit
Marietta,2938.62,512.1456,3,17.42809890356698,High Sales - High Profit
Marion,3369.346,-380.3623,11,-11.288905918240513,High Sales - Low Profit
Marlborough,206.64,67.60679999999999,1,32.717189314750286,Low Sales - Low Profit
Marysville,102.18,3.3150000000000004,2,3.2442748091603053,Low Sales - Low Profit
Mason,94.264,-4.235199999999999,1,-4.492913519477212,Low Sales - Low Profit
Mcallen,866.716,-163.87169999999998,4,-18.907196821104026,Low Sales - Low Profit
Medford,90.218,19.700899999999997,3,21.83699483473364,Low Sales - Low Profit
Medina,2477.722,-1343.0446,3,-54.20481393796398,High Sales - Low Profit
Melbourne,95.616,9.5616,1,10.0,Low Sales - Low Profit
Memphis,5942.341,-1479.04,14,-24.8898540154461,High Sales - Low Profit
Mentor,693.13,-123.27420000000002,1,-17.785148529135952,Low Sales - Low Profit
Meriden,1550.6799999999998,470.2212,5,30.323548378775765,High Sales - High Profit
Meridian,329.052,95.214,2,28.935852084169067,Low Sales - High Profit
Mesa,4037.7400000000002,-559.2314,14,-13.850109219513888,High Sales - Low Profit
Mesquite,52.147999999999996,-87.61999999999999,3,-168.02178415279587,Low Sales - Low Profit
Miami,8673.0745,-1150.3704,34,-13.263697896288104,High Sales - Low Profit
Middletown,1154.61,157.6159,7,13.651007699569554,High Sales - High Profit
Midland,5291.512,2293.6828,5,43.34645371682045,High Sales - High Profit
Milford,961.74,319.054,3,33.174662590720985,High Sales - High Profit
Milwaukee,11410.22,2793.0851000000002,23,24.478801460445112,High Sales - High Profit
Minneapolis,16870.54,6824.584599999999,13,40.45267430680938,High Sales - High Profit
Miramar,1531.192,32.28099999999999,3,2.1082267932434333,High Sales - Low Profit
Mishawaka,776.24,96.59200000000001,2,12.443574152324025,Low Sales - High Profit
Mission Viejo,775.986,151.06449999999998,3,19.467425958715747,Low Sales - High Profit
Missoula,487.984,152.495,1,31.25,Low Sales - High Profit
Missouri City,6.37,-9.555,1,-150.0,Low Sales - Low Profit
Mobile,5462.99,2175.8292,4,39.828540780781225,High Sales - High Profit
Modesto,326.15000000000003,19.943,3,6.114671163575042,Low Sales - Low Profit
Monroe,2970.4339999999997,696.6242,12,23.451933286516383,High Sales - High Profit
Montebello,27.88,3.9032,1,14.000000000000002,Low Sales - Low Profit
Montgomery,3722.73,834.6571,6,22.420565015459086,High Sales - High Profit
Moorhead,543.86,101.4106,2,18.646453131320563,Low Sales - High Profit
Moreno Valley,1262.4660000000001,353.6301,5,28.011059307735813,High Sales - High Profit
Morgan Hill,545.01,7.846,1,1.4396066127227023,Low Sales - Low Profit
Morristown,5033.099999999999,1838.2271,5,36.5227613200612,High Sales - High Profit
Mount Pleasant,563.08,93.5208,2,16.608794487461815,Low Sales - High Profit
Mount Vernon,2119.632,662.5146,5,31.256114268891956,High Sales - High Profit
Murfreesboro,337.333,15.6891,4,4.650923568106292,Low Sales - Low Profit
Murray,410.938,131.5286,4,32.00692075203559,Low Sales - High Profit
Murrieta,484.65,92.0835,1,19.0,Low Sales - High Profit
Muskogee,1721.7,442.5966,2,25.70695243073706,High Sales - High Profit
Naperville,1288.3029999999999,-146.5324,5,-11.374063399681598,High Sales - Low Profit
Nashua,35.94,13.512599999999999,2,37.59766277128548,Low Sales - Low Profit
Nashville,6070.863,-837.4908,16,-13.79525118586929,High Sales - Low Profit
New Albany,209.55,73.3529,1,35.00496301598664,Low Sales - High Profit
New Bedford,235.96999999999997,50.4861,4,21.39513497478493,Low Sales - Low Profit
New Brunswick,14.77,7.156700000000001,1,48.45429925524713,Low Sales - Low Profit
New Castle,84.61,23.0839,1,27.282708899657248,Low Sales - Low Profit
New Rochelle,1255.228,368.411,5,29.35012603288008,High Sales - High Profit
New York City,256368.161,62036.9837,450,24.198396344544516,High Sales - High Profit
Newark,28576.119,5793.7588,45,20.274827382962677,High Sales - High Profit
Newport News,3321.9500000000003,1197.0469,5,36.03446469694005,High Sales - High Profit
Niagara Falls,199.84199999999998,59.238299999999995,2,29.64256762842646,Low Sales - Low Profit
Noblesville,3091.1800000000003,353.313,2,11.429712925161265,High Sales - High Profit
Norfolk,17.43,8.0178,1,46.0,Low Sales - Low Profit
Normal,366.744,-110.0232,1,-30.0,Low Sales - Low Profit
Norman,1351.3300000000002,269.5287,2,19.94543893793522,High Sales - High Profit
North Charleston,284.25,9.670200000000001,2,3.4020052770448554,Low Sales - Low Profit
North Las Vegas,9801.002,2247.6899000000003,7,22.933266415005324,High Sales - High Profit
North Miami,22.128,3.0798000000000005,2,13.918112798264644,Low Sales - Low Profit
Norwich,414.03999999999996,164.08960000000002,4,39.63133996715294,Low Sales - High Profit
Oak Park,591.0519999999999,152.0428,2,25.724098725662042,Low Sales - High Profit
Oakland,5964.418,834.1029000000001,13,13.984648627913069,High Sales - High Profit
Oceanside,4350.738,772.6799,13,17.75974328952927,High Sales - High Profit
Odessa,976.1239999999999,-69.71180000000001,4,-7.141695112506199,High Sales - Low Profit
Oklahoma City,6596.820000000001,1580.7607,11,23.962465248407565,High Sales - High Profit
Olathe,895.79,207.4108,2,23.15395349356434,High Sales - High Profit
Olympia,1020.448,139.6269,3,13.682902019505159,High Sales - High Profit
Omaha,6312.53,1841.6268,14,29.17414729118119,High Sales - High Profit
Ontario,283.92,-46.137,1,-16.25,Low Sales - Low Profit
Orange,211.11,66.5698,5,31.53322912225854,Low Sales - Low Profit
Orem,2994.0879999999997,514.6335,5,17.188322454116246,High Sales - High Profit
Orland Park,339.96,67.992,1,20.000000000000004,Low Sales - Low Profit
Orlando,1740.08,377.7253,6,21.707352535515607,High Sales - High Profit
Ormond Beach,2.808,-1.9656,1,-70.0,Low Sales - Low Profit
Oswego,321.978,-536.1275999999999,1,-166.5106311611352,Low Sales - Low Profit
Overland Park,606.91,203.5218,3,33.53409896030713,Low Sales - High Profit
Owensboro,71.18,27.642799999999998,2,38.83506602978364,Low Sales - Low Profit
Oxnard,1558.1000000000001,346.4577,4,22.235909120082148,High Sales - High Profit
Palatine,116.312,23.2624,1,20.0,Low Sales - Low Profit
Palm Coast,274.428,17.6552,3,6.433454312242191,Low Sales - Low Profit
Park Ridge,685.0,-238.45,3,-34.810218978102185,Low Sales - Low Profit
Parker,1067.942,-164.1893,2,-15.374364899966478,High Sales - Low Profit
Parma,3879.756,31.061799999999995,4,0.8006122034478456,High Sales - Low Profit
Pasadena,6590.146,89.87190000000004,20,1.3637315470704297,High Sales - High Profit
Pasco,2201.112,357.5244,2,16.242899043756065,High Sales - High Profit
Passaic,1562.086,356.8186,1,22.842442733626704,High Sales - High Profit
Paterson,2243.21,740.49,6,33.01028436927439,High Sales - High Profit
